rank_overall, rating
509,5.4
222,7
624,4.3
222,7
201,7.1
302,6.6
462,5.7
358,6.3
259,6.8
479,5.6
630,4.2
222,7
602,4.6
447,5.8
630,4.2
544,5.1
544,5.1
259,6.8
493,5.5
243,6.9
42,8.3
279,6.7
259,6.8
358,6.3
677,3.5
164,7.3
222,7
222,7
279,6.7
118,7.6
243,6.9
517,5.3
57,8.1
201,7.1
65,8
334,6.4
151,7.4
135,7.5
164,7.3
72,7.9
164,7.3
65,8
187,7.2
16,8.8
222,7
201,7.1
201,7.1
4,9.1
164,7.3
187,7.2
334,6.4
135,7.5
462,5.7
72,7.9
65,8
396,6
42,8.3
118,7.6
118,7.6
222,7
72,7.9
334,6.4
88,7.8
30,8.5
509,5.4
279,6.7
334,6.4
16,8.8
222,7
677,3.5
201,7.1
164,7.3
88,7.8
50,8.2
27,8.6
222,7
222,7
201,7.1
334,6.4
104,7.7
530,5.2
222,7
35,8.4
385,6.1
72,7.9
135,7.5
164,7.3
222,7
243,6.9
530,5.2
30,8.5
243,6.9
201,7.1
562,5
447,5.8
493,5.5
735,0
385,6.1
65,8
624,4.3
302,6.6
118,7.6
318,6.5
358,6.3
735,0
358,6.3
302,6.6
318,6.5
243,6.9
447,5.8
318,6.5
243,6.9
371,6.2
493,5.5
259,6.8
396,6
104,7.7
318,6.5
164,7.3
259,6.8
493,5.5
259,6.8
612,4.5
735,0
530,5.2
692,3.1
647,4
572,4.9
243,6.9
88,7.8
30,8.5
712,2.3
530,5.2
462,5.7
493,5.5
517,5.3
699,2.9
612,4.5
6,9
712,2.3
572,4.9
647,4
562,5
72,7.9
334,6.4
726,1.4
50,8.2
201,7.1
88,7.8
222,7
712,2.3
88,7.8
684,3.4
104,7.7
42,8.3
671,3.6
20,8.7
671,3.6
151,7.4
735,0
702,2.8
612,4.5
57,8.1
653,3.9
201,7.1
562,5
420,5.9
562,5
572,4.9
20,8.7
30,8.5
493,5.5
27,8.6
243,6.9
591,4.7
544,5.1
530,5.2
164,7.3
164,7.3
135,7.5
118,7.6
544,5.1
118,7.6
164,7.3
602,4.6
665,3.7
334,6.4
572,4.9
371,6.2
259,6.8
35,8.4
447,5.8
509,5.4
135,7.5
243,6.9
72,7.9
302,6.6
72,7.9
201,7.1
462,5.7
396,6
201,7.1
201,7.1
544,5.1
615,4.4
479,5.6
1,10
420,5.9
572,4.9
151,7.4
726,1.4
479,5.6
479,5.6
692,3.1
660,3.8
30,8.5
572,4.9
358,6.3
602,4.6
12,8.9
591,4.7
318,6.5
